team,year,link
Louisiana Tech Bulldogs,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=366&stats_player_seq=-100
Louisiana Tech Bulldogs,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=366&stats_player_seq=-100
Louisville Cardinals,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=367&stats_player_seq=-100
Louisville Cardinals,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=367&stats_player_seq=-100
Marshall Thundering Herd,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=388&stats_player_seq=-100
Marshall Thundering Herd,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=388&stats_player_seq=-100
"Maryland Terrapins, Terps",2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=392&stats_player_seq=-100
"Maryland Terrapins, Terps",2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=392&stats_player_seq=-100
"Maryland Terrapins, Terps",2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=392&stats_player_seq=-100
"Maryland Terrapins, Terps",2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=392&stats_player_seq=-100
Massachusetts Minutemen,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=400&stats_player_seq=-100
