Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2015-16,Auburn,13,13,15,nan,179,Offense
2015-16,Auburn,0,13,7,1,87,Defensive
2016-17,Auburn,13,13,16,nan,171,Offense
2016-17,Auburn,0,13,6,nan,19,Defensive
2017-18,Auburn,13,13,20,1,189,Offense
2017-18,Auburn,0,13,13,1,159,Defensive
2011-12,Auburn,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,3,nan,6,Defensive
2013-14,Auburn,14,14,32,1,377,Offense
2013-14,Auburn,0,14,5,nan,35,Defensive
2014-15,Auburn,13,13,17,2,303,Offense
2014-15,Auburn,0,13,19,nan,148,Defensive
2015-16,Auburn,13,13,15,nan,179,Offense
2015-16,Auburn,0,13,7,1,87,Defensive
2016-17,Auburn,13,13,16,nan,171,Offense
2016-17,Auburn,0,13,6,nan,19,Defensive
2017-18,Auburn,13,13,20,1,189,Offense
2017-18,Auburn,0,13,13,1,159,Defensive
2013-14,Ball St.,13,13,10,nan,84,Offense
2013-14,Ball St.,0,13,13,nan,119,Defensive
2014-15,Ball St.,12,12,9,nan,60,Offense
2014-15,Ball St.,0,12,14,nan,114,Defensive
2015-16,Ball St.,12,12,14,nan,127,Offense
2015-16,Ball St.,0,12,13,nan,136,Defensive
2016-17,Ball St.,12,12,18,1,94,Offense
2016-17,Ball St.,0,12,16,1,129,Defensive
2017-18,Ball St.,12,12,10,nan,87,Offense
2017-18,Ball St.,0,12,23,3,284,Defensive
2013-14,Ball St.,13,13,10,nan,84,Offense
2013-14,Ball St.,0,13,13,nan,119,Defensive
2014-15,Ball St.,12,12,9,nan,60,Offense
2014-15,Ball St.,0,12,14,nan,114,Defensive
2015-16,Ball St.,12,12,14,nan,127,Offense
2015-16,Ball St.,0,12,13,nan,136,Defensive
2016-17,Ball St.,12,12,18,1,94,Offense
2016-17,Ball St.,0,12,16,1,129,Defensive
2017-18,Ball St.,12,12,10,nan,87,Offense
2017-18,Ball St.,0,12,23,3,284,Defensive
2013-14,Baylor,13,13,28,2,238,Offense
2013-14,Baylor,0,13,12,nan,202,Defensive
2014-15,Baylor,13,13,20,nan,93,Offense
2014-15,Baylor,0,13,11,nan,56,Defensive
2015-16,Baylor,13,13,15,nan,64,Offense
2015-16,Baylor,0,13,8,nan,28,Defensive
2016-17,Baylor,13,13,23,nan,223,Offense
2016-17,Baylor,0,13,8,nan,17,Defensive
2017-18,Baylor,12,12,7,nan,60,Offense
2017-18,Baylor,0,12,20,nan,59,Defensive
2013-14,Central Mich.,12,12,18,nan,118,Offense
2013-14,Central Mich.,0,12,24,2,259,Defensive
2014-15,Central Mich.,13,13,18,nan,75,Offense
2014-15,Central Mich.,0,13,12,nan,158,Defensive
2015-16,Central Mich.,13,13,12,nan,52,Offense
2015-16,Central Mich.,0,13,20,nan,104,Defensive
2016-17,Central Mich.,13,13,14,nan,80,Offense
2016-17,Central Mich.,0,13,19,1,105,Defensive
2017-18,Central Mich.,12,12,17,nan,99,Offense
2017-18,Central Mich.,0,12,27,nan,253,Defensive
2013-14,California,12,12,21,nan,57,Offense
2013-14,California,0,12,23,5,444,Defensive
2014-15,California,12,12,23,nan,175,Offense
