Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
09/05/2015,@ Oklahoma,L 3 - 41,1/,2,107,nan,2,nan,28,Akron Zips,Offense
09/05/2015,@ Oklahoma,L 3 - 41,1/,8,517,6,2,nan,43,Akron Zips,Defense
09/12/2015,Pittsburgh,L 7 - 24,1/,2,77,nan,3,nan,69,Akron Zips,Offense
09/12/2015,Pittsburgh,L 7 - 24,1/,5,320,2,1,nan,-1,Akron Zips,Defense
09/19/2015,Savannah St.,W 52 - 9,1/,9,542,2,1,nan,8,Akron Zips,Offense
09/19/2015,Savannah St.,W 52 - 9,1/,3,169,2,6,nan,93,Akron Zips,Defense
09/26/2015,@ Louisiana,W 35 - 14,1/,6,371,1,1,nan,23,Akron Zips,Offense
09/26/2015,@ Louisiana,W 35 - 14,1/,2,126,1,5,nan,90,Akron Zips,Defense
10/03/2015,Ohio,L 12 - 14,1/,5,295,nan,2,nan,36,Akron Zips,Offense
10/03/2015,Ohio,L 12 - 14,1/,3,186,1,4,nan,105,Akron Zips,Defense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,8,458,4,3,nan,84,Akron Zips,Offense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,5,328,2,3,nan,68,Akron Zips,Defense
10/17/2015,@ Bowling Green,L 10 - 59,1/,3,171,nan,7,nan,76,Akron Zips,Offense
10/17/2015,@ Bowling Green,L 10 - 59,1/,10,531,3,3,nan,93,Akron Zips,Defense
10/31/2015,Central Mich.,L 6 - 14,1/,2,126,1,2,nan,46,Akron Zips,Offense
10/31/2015,Central Mich.,L 6 - 14,1/,3,194,1,1,nan,21,Akron Zips,Defense
11/07/2015,@ Massachusetts,W 17 - 13,1/,4,238,1,3,nan,51,Akron Zips,Offense
11/07/2015,@ Massachusetts,W 17 - 13,1/,4,214,1,3,nan,54,Akron Zips,Defense
11/14/2015,@ Miami (OH),W 37 - 28,1/,7,391,nan,4,nan,58,Akron Zips,Offense
11/14/2015,@ Miami (OH),W 37 - 28,1/,5,286,nan,7,nan,93,Akron Zips,Defense
11/21/2015,Buffalo,W 42 - 21,1/,7,422,4,4,nan,51,Akron Zips,Offense
11/21/2015,Buffalo,W 42 - 21,1/,4,182,nan,3,nan,20,Akron Zips,Defense
11/27/2015,Kent St.,W 20 - 0,1/,5,262,3,nan,nan,nan,Akron Zips,Offense
11/27/2015,Kent St.,W 20 - 0,1/,1,65,1,2,nan,8,Akron Zips,Defense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,5,293,nan,2,nan,35,Akron Zips,Offense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,3,171,1,4,nan,107,Akron Zips,Defense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,9,568,4,1,nan,24,Alabama Crimson Tide,Offense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,3,192,1,5,nan,117,Alabama Crimson Tide,Defense
09/10/2016,Western Ky.,W 38 - 10,1/,7,447,4,3,nan,63,Alabama Crimson Tide,Offense
09/10/2016,Western Ky.,W 38 - 10,1/,3,193,nan,3,nan,61,Alabama Crimson Tide,Defense
