Jersey,Player,Pos,Yr,GP,GS,Year,Team
30B,"Roop, Jordan",LB,Fr,0,0,2016-17,Bowling Green  Falcons
39,"Samuel, Malon",DB,So,0,0,2016-17,Bowling Green  Falcons
58,"Sanders, Brian",DL,So,11,0,2016-17,Bowling Green  Falcons
4,"Sanford, James",DB,Sr,12,0,2016-17,Bowling Green  Falcons
33,"Sasaoka, Kekoa",K,Fr,0,0,2016-17,Bowling Green  Falcons
63,"Schwieterman, Gus",DL,Jr,12,10,2016-17,Bowling Green  Falcons
79,"Sharp, Zackary",OL,Fr,0,0,2016-17,Bowling Green  Falcons
96,"Simmons, Deangelo",LB,Fr,0,0,2016-17,Bowling Green  Falcons
42,"Skattebo, Leonard",RB,Jr,12,1,2016-17,Bowling Green  Falcons
52,"Skrobot, Gabe",LB,Fr,0,0,2016-17,Bowling Green  Falcons
93,"Smith, Shannon",DL,Jr,11,2,2016-17,Bowling Green  Falcons
21,"Sotolongo, Antonyo",DB,Fr,9,3,2016-17,Bowling Green  Falcons
2B,"Stephens, Clint",DB,Jr,0,0,2016-17,Bowling Green  Falcons
32,"Stephens Jr., Terence",RB,Fr,9,0,2016-17,Bowling Green  Falcons
72,"Steward, Ben",OL,Sr,11,11,2016-17,Bowling Green  Falcons
46,"Suder, Jake",K,So,12,0,2016-17,Bowling Green  Falcons
74,"Taborn, Lorenzo",OL,Fr,9,2,2016-17,Bowling Green  Falcons
7B,"Taylor, Calen",RB,Fr,2,0,2016-17,Bowling Green  Falcons
15B,"Thomas, Quinn",WR,Fr,1,0,2016-17,Bowling Green  Falcons
98,"Tinnerman, Grant",K,Fr,0,0,2016-17,Bowling Green  Falcons
84,"Tupa, Tim",WR,So,0,0,2016-17,Bowling Green  Falcons
1,"Valdez, Austin",LB,Jr,10,8,2016-17,Bowling Green  Falcons
24,"Wade, Tavarus",DB,So,11,8,2016-17,Bowling Green  Falcons
36,"Walz III, Jack",DB,So,1,0,2016-17,Bowling Green  Falcons
70,"Ware, De'Angelo",OL,So,0,0,2016-17,Bowling Green  Falcons
73,"Ware, Joe",OL,Fr,0,0,2016-17,Bowling Green  Falcons
8B,"Watson, Will",DB,Sr,6,4,2016-17,Bowling Green  Falcons
45,"Wilson, Donovan",RB,Jr,12,1,2016-17,Bowling Green  Falcons
85,"Wyatt, Jared",WR,Fr,0,0,2016-17,Bowling Green  Falcons
87,"Zimmerman, Marquis",WR,Fr,10,1,2016-17,Bowling Green  Falcons
14,"Adjei-Barimah, Jude",DB,Jr,13,4,2013-14,Bowling Green  Falcons
99,"Baird, Bryan",DL,So,10,0,2013-14,Bowling Green  Falcons
47,"Banks, Aaron",LB,Fr,0,0,2013-14,Bowling Green  Falcons
57,"Bartman, Zac",LB,Fr,3,0,2013-14,Bowling Green  Falcons
82,"Bayer, Alex",TE,Sr,14,14,2013-14,Bowling Green  Falcons
89,"Beck, Tyler",TE,Sr,13,5,2013-14,Bowling Green  Falcons
77,"Beggan, JJ",OL,Fr,10,0,2013-14,Bowling Green  Falcons
67,"Bennett, Jacob",OL,Fr,14,14,2013-14,Bowling Green  Falcons
1B,"Brown, Patrick",nan,nan,1,0,2013-14,Bowling Green  Falcons
28,"Brown, Coy",LB,So,13,0,2013-14,Bowling Green  Falcons
17,"Burbrink, Ryan",WR,So,14,7,2013-14,Bowling Green  Falcons
61,"Bush, Terrance",DL,Fr,11,0,2013-14,Bowling Green  Falcons
62,"Cairo, Spencer",OL,So,6,0,2013-14,Bowling Green  Falcons
90,"Campbell, Jairus",DL,Sr,14,13,2013-14,Bowling Green  Falcons
78,"Clancy, Clark",OL,Fr,0,0,2013-14,Bowling Green  Falcons
10,"Coby, Herve",WR,So,11,0,2013-14,Bowling Green  Falcons
83,"Cohen, Jared",WR,Jr,8,1,2013-14,Bowling Green  Falcons
82A,"Collins, Kevin",WR,Fr,2,0,2013-14,Bowling Green  Falcons
92,"Colvin, Zach",DL,Jr,14,4,2013-14,Bowling Green  Falcons
28A,"Coppet, Fred",RB,Fr,9,0,2013-14,Bowling Green  Falcons
45,"Croley, Jhalil-Nashid",LB,Fr,8,0,2013-14,Bowling Green  Falcons
49,"Davidson, Joe",P,Fr,0,0,2013-14,Bowling Green  Falcons
44,"Davis, Scott",TE,Fr,7,0,2013-14,Bowling Green  Falcons
59,"Delaney, Darion",OL,Jr,3,0,2013-14,Bowling Green  Falcons
84,"Delk, Diontre",WR,So,1,0,2013-14,Bowling Green  Falcons
18,"Dieter, Nolan",QB,So,0,0,2013-14,Bowling Green  Falcons
15A,"Dieter, Gehrig",WR,Fr,0,0,2013-14,Bowling Green  Falcons
53,"Dietz, Logan",OL,Fr,14,14,2013-14,Bowling Green  Falcons
97,"Farinella, Anthony",K,So,14,0,2013-14,Bowling Green  Falcons
91,"Fields, Nick",K,Fr,0,0,2013-14,Bowling Green  Falcons
52,"Flewellyn, Dominic",OL,Sr,14,14,2013-14,Bowling Green  Falcons
88A,"Folkertsma, Hunter",TE,Fr,0,0,2013-14,Bowling Green  Falcons
39,"Ford, Justin",DB,Jr,10,3,2013-14,Bowling Green  Falcons
23,"Foster, Aaron",DB,Sr,14,14,2013-14,Bowling Green  Falcons
64,"Fry, Johnathan",OL,Jr,5,0,2013-14,Bowling Green  Falcons
6,"Gallon, Chris",WR,So,7,5,2013-14,Bowling Green  Falcons
24,"Gates, Booboo",DB,Sr,14,14,2013-14,Bowling Green  Falcons
2,"Givens, Andre",RB,So,9,0,2013-14,Bowling Green  Falcons
96,"Goble, Ronnie",DL,Sr,14,4,2013-14,Bowling Green  Falcons
9G,"Gourdine, Isaiah",DB,Fr,10,0,2013-14,Bowling Green  Falcons
13,"Greene, Travis",RB,So,14,11,2013-14,Bowling Green  Falcons
76,"Hager, Nicholas",OL,Jr,13,0,2013-14,Bowling Green  Falcons
41,"Hannon, Patric",LB,Fr,0,0,2013-14,Bowling Green  Falcons
20,"Harrell, Eric",RB,Fr,0,0,2013-14,Bowling Green  Falcons
48,"Hohenstein, Greg",OL,Fr,14,0,2013-14,Bowling Green  Falcons
60,"Holiday, Darius",DL,Fr,0,0,2013-14,Bowling Green  Falcons
4,"Hopgood, Jordan",RB,Sr,12,1,2013-14,Bowling Green  Falcons
87,"Hosley, Jermal",WR,So,0,0,2013-14,Bowling Green  Falcons
87,"Hosley, Jermal",WR,So,0,0,2013-14,Bowling Green  Falcons
32,"Houston, William",RB,Fr,14,1,2013-14,Bowling Green  Falcons
55,"Huettel, Alex",OL,So,14,14,2013-14,Bowling Green  Falcons
68,"Hunter, Ryan",OL,Fr,0,0,2013-14,Bowling Green  Falcons
1,"Hunter, Darrell",DB,Jr,0,0,2013-14,Bowling Green  Falcons
56,"Jackson, Terrell",DL,Fr,0,0,2013-14,Bowling Green  Falcons
85,"Jackson, Heath",WR,Jr,13,5,2013-14,Bowling Green  Falcons
11,"Johnson, Matt",QB,So,14,12,2013-14,Bowling Green  Falcons
9,"Joplin, Shaun",WR,Sr,14,14,2013-14,Bowling Green  Falcons
38,"Karchner, Evan",LB,So,0,0,2013-14,Bowling Green  Falcons
65,"Kekuewa, David Chief",OL,Sr,14,14,2013-14,Bowling Green  Falcons
25,"Klingerman, John",WR,Fr,0,0,2013-14,Bowling Green  Falcons
3A,"Knapke, James",QB,So,6,0,2013-14,Bowling Green  Falcons
86,"Larson, Logan",TE,Fr,0,0,2013-14,Bowling Green  Falcons
14A,"Levy, Marcus",RB,Fr,0,0,2013-14,Bowling Green  Falcons
27,"Locke, Nate",LB,Fr,0,0,2013-14,Bowling Green  Falcons
58,"Love, Tim",DL,Jr,1,0,2013-14,Bowling Green  Falcons
50,"Lunsford, Izaah",DL,Fr,5,0,2013-14,Bowling Green  Falcons
7,"Lynch, D.J.",LB,Jr,14,13,2013-14,Bowling Green  Falcons
26,"Mack, Alfonso",DB,Fr,9,0,2013-14,Bowling Green  Falcons
37,"Martin, Jamel",RB,Jr,0,0,2013-14,Bowling Green  Falcons
1M,"Martin, Gabe",LB,Jr,8,7,2013-14,Bowling Green  Falcons
71,"McAuliffe, Tim",OL,Fr,0,0,2013-14,Bowling Green  Falcons
54,"Minns, Mike",DL,So,11,0,2013-14,Bowling Green  Falcons
88,"Montgomery, Kendall",TE,Jr,14,0,2013-14,Bowling Green  Falcons
5,"Moore, Ronnie",WR,Fr,14,5,2013-14,Bowling Green  Falcons
95A,"Nachtrab, Jake",DL,Fr,0,0,2013-14,Bowling Green  Falcons
34,"Osborne, Victor",DB,Jr,13,0,2013-14,Bowling Green  Falcons
93,"Ouellet, Ted",DL,Sr,12,11,2013-14,Bowling Green  Falcons
22,"Pettus, Josh",DB,Sr,7,0,2013-14,Bowling Green  Falcons
22A,"Phillips, Monti",RB,Fr,0,0,2013-14,Bowling Green  Falcons
74,"Piazza, Christain",OL,So,9,0,2013-14,Bowling Green  Falcons
18A,"Pierre-Louis, Omar",DB,Fr,0,0,2013-14,Bowling Green  Falcons
32A,"Pitts, Ryan",DB,Fr,0,0,2013-14,Bowling Green  Falcons
42,"Pohlman, Chris",TE,Jr,14,1,2013-14,Bowling Green  Falcons
19,"Redding, Teo",WR,Fr,0,0,2013-14,Bowling Green  Falcons
31,"Robinson, Matt",DB,Fr,0,0,2013-14,Bowling Green  Falcons
75,"Rolf, Clay",TE,Jr,13,0,2013-14,Bowling Green  Falcons
81,"Roop, Trevor",WR,Fr,0,0,2013-14,Bowling Green  Falcons
51,"Royster, Taylor",DL,So,14,0,2013-14,Bowling Green  Falcons
35,"Sanford, James",DB,So,0,0,2013-14,Bowling Green  Falcons
7,"Schilz, Matt",QB,Sr,8,1,2013-14,Bowling Green  Falcons
95,"Schmiedebusch, Brian",P,Sr,14,0,2013-14,Bowling Green  Falcons
63,"Schwieterman, Gus",DL,Fr,0,0,2013-14,Bowling Green  Falcons
30,"Senn, Paul",LB,Jr,14,0,2013-14,Bowling Green  Falcons
94,"Shepherd, Jason",DL,Fr,0,0,2013-14,Bowling Green  Falcons
72,"Steward, Ben",OL,Fr,9,0,2013-14,Bowling Green  Falcons
3,"Sutton, Brian",DB,Jr,14,4,2013-14,Bowling Green  Falcons
33,"Swan, Paul",LB,Sr,14,13,2013-14,Bowling Green  Falcons
98,"Tate, Tyler",K,So,14,0,2013-14,Bowling Green  Falcons
43,"Thomas, Bryan",DL,Jr,14,14,2013-14,Bowling Green  Falcons
8,"Truss, Cameron",DB,Sr,14,14,2013-14,Bowling Green  Falcons
16,"Valdez, Austin",QB,Fr,0,0,2013-14,Bowling Green  Falcons
46,"Walker, Charlie",LB,Jr,11,8,2013-14,Bowling Green  Falcons
15,"Ward, Ryland",DB,Jr,14,14,2013-14,Bowling Green  Falcons
21,"Watson, Will",DB,So,13,0,2013-14,Bowling Green  Falcons
66,"Zappa, Geno",OL,Fr,0,0,2013-14,Bowling Green  Falcons
83,"Adjei, Natey",WR,Sr,2,0,2013-14,Buffalo  Bulls
3,"Alozie, Okezie",DB,So,13,1,2013-14,Buffalo  Bulls
95,"Bachtelle, Beau",DL,Sr,13,13,2013-14,Buffalo  Bulls
73,"Back, Jesse",OL,So,3,0,2013-14,Buffalo  Bulls
5,"Baker, Marqus",DB,So,13,1,2013-14,Buffalo  Bulls
93,"Barksdale, Dalton",DL,Jr,13,1,2013-14,Buffalo  Bulls
33,"Bean, Blake",LB,Jr,10,10,2013-14,Buffalo  Bulls
20,"Bell, Tomarris",DB,Sr,13,2,2013-14,Buffalo  Bulls
23,"Berry, Brandon",DB,So,13,0,2013-14,Buffalo  Bulls
74,"Blodgett, Robert",OL,Jr,12,8,2013-14,Buffalo  Bulls
63,"Borruso, Andrew",OL,So,5,0,2013-14,Buffalo  Bulls
1E,"Brennan, Patrick",RB,Sr,5,0,2013-14,Buffalo  Bulls
15,"Brim, Derek",DB,Sr,13,11,2013-14,Buffalo  Bulls
41,"Brock, Boomer",RB,Sr,0,0,2013-14,Buffalo  Bulls
64,"Bunk, Jason",OL,So,0,0,2013-14,Buffalo  Bulls
37,"Caldwell, Colton",TE,Jr,4,0,2013-14,Buffalo  Bulls
21,"Campbell, Devin",RB,So,11,2,2013-14,Buffalo  Bulls
56,"Carlson, Jasen",OL,Sr,7,7,2013-14,Buffalo  Bulls
1C,"Chambers, Jason",DB,Fr,0,0,2013-14,Buffalo  Bulls
45,"Clarke, Patrick",K,Jr,13,0,2013-14,Buffalo  Bulls
1M,"Coleman, James",RB,Fr,0,0,2013-14,Buffalo  Bulls
78,"Collura, Dan",DL,So,2,0,2013-14,Buffalo  Bulls
55,"Crawford, Brandon",LB,Fr,8,0,2013-14,Buffalo  Bulls
1A,"Dadeboe, Andrews",DB,Fr,0,0,2013-14,Buffalo  Bulls
1D,"Daniel, Tony",QB,Jr,4,0,2013-14,Buffalo  Bulls
96,"Davis, Xavier",DL,Fr,0,0,2013-14,Buffalo  Bulls
50,"Davis, Andre",OL,Jr,13,13,2013-14,Buffalo  Bulls
68,"Demos, Khari",OL,Fr,0,0,2013-14,Buffalo  Bulls
17,"Dennison, Alex",TE,Sr,12,2,2013-14,Buffalo  Bulls
12,"Dixon, Cordero",WR,Jr,3,0,2013-14,Buffalo  Bulls
25,"Dunmore, John",WR,Jr,9,2,2013-14,Buffalo  Bulls
84,"Eiland, Jamarl",WR,Fr,0,0,2013-14,Buffalo  Bulls
48,"Fink, Waylon",LB,So,11,0,2013-14,Buffalo  Bulls
58,"Ford, Chris",DL,Fr,0,0,2013-14,Buffalo  Bulls
36,"Franklin, Jarrett",LB,Fr,11,0,2013-14,Buffalo  Bulls
43,"Gilbo, Nick",LB,Jr,6,0,2013-14,Buffalo  Bulls
8,"Glass, Houston",DB,Fr,11,0,2013-14,Buffalo  Bulls
81,"Gordon, Jimmy",TE,Sr,13,4,2013-14,Buffalo  Bulls
27,"Grassman, Corbin",LB,Fr,13,0,2013-14,Buffalo  Bulls
11,"Grassman, Tyler",P,So,13,0,2013-14,Buffalo  Bulls
65,"Guy, Dillon",OL,Jr,12,5,2013-14,Buffalo  Bulls
82,"Harof, Ed",TE,Jr,6,0,2013-14,Buffalo  Bulls
91,"Harris, Demone",DL,Fr,0,0,2013-14,Buffalo  Bulls
30,"Houston, Okoye",DB,Sr,13,12,2013-14,Buffalo  Bulls
13,"Hughes, Devon",WR,Jr,11,1,2013-14,Buffalo  Bulls
1K,"Jackson, Solomon",LB,Fr,0,0,2013-14,Buffalo  Bulls
2,"Johnson, Jordan",RB,So,0,0,2013-14,Buffalo  Bulls
22,"Johnson, Najja",DB,Sr,13,12,2013-14,Buffalo  Bulls
70,"Kling, John",OL,Jr,11,6,2013-14,Buffalo  Bulls
31,"Lammons, Carlos",DB,Sr,11,0,2013-14,Buffalo  Bulls
18,"Lee, Fred",WR,Sr,13,13,2013-14,Buffalo  Bulls
4,"Lester, Cortney",DB,Jr,13,12,2013-14,Buffalo  Bulls
16,"Licata, Joe",QB,Jr,13,13,2013-14,Buffalo  Bulls
39,"Lis, Greg",LB,Fr,0,0,2013-14,Buffalo  Bulls
92,"Lynch, Tedroy",DL,Jr,11,0,2013-14,Buffalo  Bulls
46,"Mack, Khalil",LB,Sr,13,13,2013-14,Buffalo  Bulls
61,"Manosalvas, Brandon",OL,Fr,0,0,2013-14,Buffalo  Bulls
88,"Martinez, Jacob",WR,Fr,0,0,2013-14,Buffalo  Bulls
75,"McCoy, Albert",DL,So,6,0,2013-14,Buffalo  Bulls
7,"McGill, Marcus",WR,So,3,0,2013-14,Buffalo  Bulls
6,"Michael, Collin",QB,So,1,0,2013-14,Buffalo  Bulls
44,"Molinich, Glynn",TE,Fr,1,0,2013-14,Buffalo  Bulls
26,"Murie, Brandon",RB,Sr,12,0,2013-14,Buffalo  Bulls
19,"Neutz, Alex",WR,Sr,13,13,2013-14,Buffalo  Bulls
59,"O'Henly, Tyler",OL,Fr,0,0,2013-14,Buffalo  Bulls
32,"Oliver, Branden",RB,Sr,12,12,2013-14,Buffalo  Bulls
1B,"Orzechowski, Brian",P,So,0,0,2013-14,Buffalo  Bulls
1P,"Patterson, Kendall",DL,Jr,11,2,2013-14,Buffalo  Bulls
42,"Paxson, Ryan",LB,Jr,0,0,2013-14,Buffalo  Bulls
66,"Perisse, Max",DL,So,12,0,2013-14,Buffalo  Bulls
60,"Pickett, Jake",OL,Jr,1,0,2013-14,Buffalo  Bulls
52,"Pitzonka, Travis",LB,So,13,0,2013-14,Buffalo  Bulls
1,"Potts, James",RB,Jr,9,0,2013-14,Buffalo  Bulls
29,"Redden, Adam",DB,Jr,10,10,2013-14,Buffalo  Bulls
35,"Rembert, William",DB,So,2,0,2013-14,Buffalo  Bulls
47,"Roberson, Kendall",DL,Jr,4,0,2013-14,Buffalo  Bulls
80,"Robinson, Malcolm",WR,So,3,0,2013-14,Buffalo  Bulls
87,"Ross, Boise",WR,Fr,9,1,2013-14,Buffalo  Bulls
71,"Sales, Trevor",OL,Sr,13,13,2013-14,Buffalo  Bulls
40,"Schillace, Joe",RB,Fr,0,0,2013-14,Buffalo  Bulls
85,"Schrek, Mason",TE,So,13,4,2013-14,Buffalo  Bulls
1J,"Shay, Jordan",WR,So,0,0,2013-14,Buffalo  Bulls
10,"Sherry, Witney",DB,Jr,11,1,2013-14,Buffalo  Bulls
67,"Silas, Jake",OL,Jr,13,13,2013-14,Buffalo  Bulls
24,"Skinner, Lee",LB,Jr,13,13,2013-14,Buffalo  Bulls
1S,"Slowik, Craig",QB,Fr,0,0,2013-14,Buffalo  Bulls
97,"Smekal, Zach",DL,Fr,0,0,2013-14,Buffalo  Bulls
90,"Sokoli, Kristjan",DL,Jr,13,13,2013-14,Buffalo  Bulls
38,"Stancil, C.J.",DB,So,4,0,2013-14,Buffalo  Bulls
9,"Stockman, Jake",LB,Jr,13,3,2013-14,Buffalo  Bulls
28,"Striggles, Dwellie",DB,Jr,12,1,2013-14,Buffalo  Bulls
49,"Takeh, Keith",DB,Jr,0,0,2013-14,Buffalo  Bulls
51,"Tammaro, Brandon",LB,Jr,0,0,2013-14,Buffalo  Bulls
14,"Taylor, Anthone",RB,Jr,9,0,2013-14,Buffalo  Bulls
1T,"Therrien, Todd",DL,Jr,3,0,2013-14,Buffalo  Bulls
34,"Way, Colby",DL,Sr,12,12,2013-14,Buffalo  Bulls
72,"Weaver, Lance",DL,Sr,1,0,2013-14,Buffalo  Bulls
89,"Weiser, Matt",TE,Jr,13,9,2013-14,Buffalo  Bulls
1W,"Williams, Diamond",RB,Fr,0,0,2013-14,Buffalo  Bulls
86,"Willoughby, Ron",WR,Jr,11,0,2013-14,Buffalo  Bulls
1Z,"Zordich, Alex",QB,Sr,5,0,2013-14,Buffalo  Bulls
3,"Alozie, Okezie",DB,Sr,12,12,2015-16,Buffalo  Bulls
47,"Ames, Jake",LB,Fr,0,0,2015-16,Buffalo  Bulls
57,"Ames, Nick",LB,Fr,0,0,2015-16,Buffalo  Bulls
34,"Anyanwu, Randy",LB,So,11,0,2015-16,Buffalo  Bulls
5,"Baker, Marqus",DB,Sr,12,12,2015-16,Buffalo  Bulls
11a,"Barnes, Deion",WR,Fr,0,0,2015-16,Buffalo  Bulls
23,"Berry, Brandon",DB,Sr,12,12,2015-16,Buffalo  Bulls
74,"Blodgett, Robert",OL,Sr,12,12,2015-16,Buffalo  Bulls
78,"Bowman, Trey",OL,Jr,0,0,2015-16,Buffalo  Bulls
90,"Brandon, Justin",DL,Fr,12,0,2015-16,Buffalo  Bulls
81,"Byron, Jacob",TE,Jr,1,0,2015-16,Buffalo  Bulls
21,"Campbell, Devin",RB,Sr,8,0,2015-16,Buffalo  Bulls
31,"Cantallcio, Tchaikovsky",WR,Fr,0,0,2015-16,Buffalo  Bulls
95A,"Clarke, Conor",P,Jr,0,0,2015-16,Buffalo  Bulls
25,"Collier, Jordan",DB,Fr,10,0,2015-16,Buffalo  Bulls
55,"Crawford, Brandon",LB,Jr,12,11,2015-16,Buffalo  Bulls
6a,"Dadeboe, Jeremiah",DB,Fr,0,0,2015-16,Buffalo  Bulls
17,"Dadeboe, Andrews",DB,Jr,10,9,2015-16,Buffalo  Bulls
1T,"Daniel, Tony",QB,Sr,4,0,2015-16,Buffalo  Bulls
1D,"DeMonte, Mikel",WR,Sr,0,0,2015-16,Buffalo  Bulls
1C,"Doubek, Chris",RB,So,1,0,2015-16,Buffalo  Bulls
84,"Eiland, Jamarl",WR,Jr,9,0,2015-16,Buffalo  Bulls
49,"Emer, Zach",LB,Fr,0,0,2015-16,Buffalo  Bulls
76,"Fidler, Andy",OL,So,3,2,2015-16,Buffalo  Bulls
58,"Ford, Chris",DL,Jr,12,11,2015-16,Buffalo  Bulls
20,"Forman, Michael",RB,So,5,0,2015-16,Buffalo  Bulls
36,"Franklin, Jarrett",LB,Jr,0,0,2015-16,Buffalo  Bulls
79,"Galley, Bill",OL,So,0,0,2015-16,Buffalo  Bulls
43,"Gilbo, Nick",LB,Sr,12,12,2015-16,Buffalo  Bulls
8,"Glass, Houston",DB,Jr,10,0,2015-16,Buffalo  Bulls
98,"Gonzalez, Christian",DL,Fr,1,0,2015-16,Buffalo  Bulls
27,"Grassman, Corbin",LB,Jr,12,0,2015-16,Buffalo  Bulls
11,"Grassman, Tyler",P,Sr,12,0,2015-16,Buffalo  Bulls
65,"Guy, Dillon",OL,Sr,8,8,2015-16,Buffalo  Bulls
1H,"Hargrove, Ishmael",DB,So,10,0,2015-16,Buffalo  Bulls
91,"Harris, Demone",DL,Jr,12,7,2015-16,Buffalo  Bulls
92,"Harris, Chuck",DL,Fr,11,0,2015-16,Buffalo  Bulls
54,"Hartley, Skylar",OL,So,1,0,2015-16,Buffalo  Bulls
24,"Hawkins, Johnathan",RB,Fr,10,0,2015-16,Buffalo  Bulls
1C,"Henderson, Corey",DL,So,1,0,2015-16,Buffalo  Bulls
9,"Hendrick, Torey",DL,Jr,0,0,2015-16,Buffalo  Bulls
1G,"Hosey, Gary",RB,So,12,0,2015-16,Buffalo  Bulls
96,"Hwang, Duke",DL,Fr,5,0,2015-16,Buffalo  Bulls
41,"Jackson, Solomon",LB,Jr,12,6,2015-16,Buffalo  Bulls
3a,"Jackson, Tyree",QB,Fr,0,0,2015-16,Buffalo  Bulls
2,"Johnson, Jordan",RB,Sr,12,3,2015-16,Buffalo  Bulls
71,"Joseph, Roubbens",OL,Jr,8,3,2015-16,Buffalo  Bulls
95,"Khoury, Jake",DL,So,4,0,2015-16,Buffalo  Bulls
70,"Kling, John",OL,Sr,12,12,2015-16,Buffalo  Bulls
67,"Ksiezarczyk, Evin",OL,Fr,0,0,2015-16,Buffalo  Bulls
28,"Lamour, Dev",DB,Fr,1,0,2015-16,Buffalo  Bulls
39a,"Lewis, Cameron",DB,Fr,12,0,2015-16,Buffalo  Bulls
16,"Licata, Joe",QB,Sr,12,12,2015-16,Buffalo  Bulls
42,"Lis, Greg",LB,Jr,1,0,2015-16,Buffalo  Bulls
13,"Lisa, Collin",WR,So,11,2,2015-16,Buffalo  Bulls
81a,"Mabry, Tyler",TE,Fr,1,1,2015-16,Buffalo  Bulls
61,"Manosalvas, Brandon",OL,Jr,11,10,2015-16,Buffalo  Bulls
88,"Martinez, Jacob",WR,Jr,12,2,2015-16,Buffalo  Bulls
75,"McCoy, Albert",OL,Sr,1,0,2015-16,Buffalo  Bulls
7,"McGill, Marcus",WR,Sr,12,12,2015-16,Buffalo  Bulls
12,"Merchant, Chris",QB,So,1,0,2015-16,Buffalo  Bulls
6,"Michael, Collin",QB,Sr,0,0,2015-16,Buffalo  Bulls
19,"Mitcheson, Adam",K,So,12,0,2015-16,Buffalo  Bulls
44,"Molinich, Glynn",TE,Jr,12,0,2015-16,Buffalo  Bulls
72,"Murphy, Matt",OL,So,0,0,2015-16,Buffalo  Bulls
83,"Nagel, Kyle",TE,So,0,0,2015-16,Buffalo  Bulls
39,"Nicholas, Myles",LB,So,1,0,2015-16,Buffalo  Bulls
32,"Nicholas, Zach",RB,So,3,0,2015-16,Buffalo  Bulls
77,"O'Hagan, James",OL,So,12,12,2015-16,Buffalo  Bulls
59,"O'Henly, Tyler",OL,Jr,6,1,2015-16,Buffalo  Bulls
8a,"Osborn, K.J.",WR,Fr,0,0,2015-16,Buffalo  Bulls
31,"Patterson, Kendall",RB,Sr,9,1,2015-16,Buffalo  Bulls
66,"Perisse, Max",DL,Sr,12,12,2015-16,Buffalo  Bulls
52,"Pitzonka, Travis",LB,Sr,12,0,2015-16,Buffalo  Bulls
29,"Reed, Emmanuel",RB,Fr,1,0,2015-16,Buffalo  Bulls
35,"Rembert, William",DB,Sr,2,0,2015-16,Buffalo  Bulls
80,"Robinson, Malcolm",WR,Sr,9,1,2015-16,Buffalo  Bulls
82,"Rogers, Kevin",TE,So,5,0,2015-16,Buffalo  Bulls
87,"Ross, Boise",WR,Jr,12,11,2015-16,Buffalo  Bulls
56,"Ruggerio, Nicco",LB,Fr,1,0,2015-16,Buffalo  Bulls
40,"Schillace, Joe",RB,Jr,2,0,2015-16,Buffalo  Bulls
85,"Schrek, Mason",TE,Sr,10,2,2015-16,Buffalo  Bulls
99,"Schwartzmeier, Gusty",DL,So,11,0,2015-16,Buffalo  Bulls
84a,"Seybert, Matt",TE,Fr,0,0,2015-16,Buffalo  Bulls
45,"Skipworth, Camerson",DB,Fr,0,0,2015-16,Buffalo  Bulls
97,"Smekal, Zach",DL,Jr,0,0,2015-16,Buffalo  Bulls
10,"Smiley, Brandon",WR,Fr,12,4,2015-16,Buffalo  Bulls
12,"Stanback, Brandon",DB,Fr,0,0,2015-16,Buffalo  Bulls
38,"Stancil, C.J.",DB,Sr,12,0,2015-16,Buffalo  Bulls
1,"Taylor, Anthone",RB,Sr,11,9,2015-16,Buffalo  Bulls
52a,"Therrien, Todd",OL,Sr,0,0,2015-16,Buffalo  Bulls
33,"Threats, Kyril",LB,So,11,0,2015-16,Buffalo  Bulls
93,"Tutela, Joe",DL,Fr,0,0,2015-16,Buffalo  Bulls
89,"Welser, Matt",TE,Sr,12,12,2015-16,Buffalo  Bulls
48,"White, Will",LB,So,2,0,2015-16,Buffalo  Bulls
22,"Williams, Diamond",RB,Jr,12,0,2015-16,Buffalo  Bulls
14,"Williams, Brandon",DB,So,12,0,2015-16,Buffalo  Bulls
30,"Williams, Debray",DB,Jr,0,0,2015-16,Buffalo  Bulls
26,"Williamson, Ryan",DB,So,12,12,2015-16,Buffalo  Bulls
86,"Willoughby, Ron",WR,Sr,12,12,2015-16,Buffalo  Bulls
1W,"Wilson, Terrance",DB,So,0,0,2015-16,Buffalo  Bulls
18,"Zazzara, J.R.",WR,So,4,0,2015-16,Buffalo  Bulls
35,"Abbas, Ali",DB,Fr,3,0,2017-18,Buffalo  Bulls
1A,"Akin, Wankeith",DB,Fr,0,0,2017-18,Buffalo  Bulls
11,"Anderson, Theo",RB,Fr,10,0,2017-18,Buffalo  Bulls
12,"Anderson, Drew",QB,Jr,5,3,2017-18,Buffalo  Bulls
73,"Awosika, Kayode",OL,Fr,4,0,2017-18,Buffalo  Bulls
18,"Baker, Roy",DB,Fr,8,0,2017-18,Buffalo  Bulls
53,"Black, Eric",DL,Fr,0,0,2017-18,Buffalo  Bulls
85,"Bourassa, Julien",TE,Fr,0,0,2017-18,Buffalo  Bulls
90,"Brandon, Justin",DL,Jr,12,12,2017-18,Buffalo  Bulls
25,"Collier, Jordan",DB,Jr,12,10,2017-18,Buffalo  Bulls
1K,"Cummings, Michael",K,So,0,0,2017-18,Buffalo  Bulls
6,"Dadeboe, Jeremiah",DB,So,11,0,2017-18,Buffalo  Bulls
99,"Darelus, Frendy",DL,Fr,0,0,2017-18,Buffalo  Bulls
30,"DeWeen, Kyle",P,Sr,12,0,2017-18,Buffalo  Bulls
21,"Doubek, Chris",RB,Jr,11,0,2017-18,Buffalo  Bulls
