Stat,Player,Value,Team,Year
Pass Eff,Ryan Burns,209.20,Stanford Cardinal,2015
Points,Jordan Williamson,88,Stanford Cardinal,2015
Punt Avg,Ben Rhyne,465.8,Stanford Cardinal,2015
Punt Ret Yds,Ty Montgomery,238,Stanford Cardinal,2015
Rec,Ty Montgomery,61,Stanford Cardinal,2015
ReceivingYards,Ty Montgomery,604,Stanford Cardinal,2015
Rush Net Yards,Remound Wright,601,Stanford Cardinal,2015
Sacks,Henry Anderson,8.5,Stanford Cardinal,2015
Tackles,Blake Martinez,94,Stanford Cardinal,2015
Tot Off,Kevin Hogan,3087,Stanford Cardinal,2015
APY,Prince-Tyson Gulley,856,Syracuse  Orange,2015
FGM,Cole Murphy,13,Syracuse  Orange,2015
Int,Brandon Reddish,3,Syracuse  Orange,2015
Pass Eff,Riley Dixon,438.40,Syracuse  Orange,2015
Points,Cole Murphy,50,Syracuse  Orange,2015
Punt Avg,Riley Dixon,473.6,Syracuse  Orange,2015
Punt Ret Yds,Ritchy Desir,71,Syracuse  Orange,2015
Rec,Jarrod West,49,Syracuse  Orange,2015
ReceivingYards,Jarrod West,700,Syracuse  Orange,2015
Rush Net Yards,Prince-Tyson Gulley,614,Syracuse  Orange,2015
Sacks,Cameron Lynch,7.0,Syracuse  Orange,2015
Tackles,Cameron Lynch,87,Syracuse  Orange,2015
Tot Off,Terrel Hunt,1275,Syracuse  Orange,2015
APY,Aaron Green,1088,TCU Horned Frogs,2015
FGM,Jaden Oberkrom,22,TCU Horned Frogs,2015
Int,Chris Hackett,7,TCU Horned Frogs,2015
Pass Eff,Kolby Listenbee,690.40,TCU Horned Frogs,2015
Points,Jaden Oberkrom,142,TCU Horned Frogs,2015
Punt Avg,Ethan Perry,502.2,TCU Horned Frogs,2015
Punt Ret Yds,Cameron Echols-Luper,349,TCU Horned Frogs,2015
Rec,Josh Doctson,65,TCU Horned Frogs,2015
ReceivingYards,Josh Doctson,1018,TCU Horned Frogs,2015
Rush Net Yards,Aaron Green,922,TCU Horned Frogs,2015
Sacks,James McFarland,7.0,TCU Horned Frogs,2015
Tackles,Paul Dawson,136,TCU Horned Frogs,2015
Tot Off,Trevone Boykin,4608,TCU Horned Frogs,2015
APY,Jahad Thomas,1080,Temple  Owls,2015
FGM,Austin Jones,13,Temple  Owls,2015
Int,Tavon Young,4,Temple  Owls,2015
Pass Eff,Jalen Fitzpatrick,217.60,Temple  Owls,2015
Points,Austin Jones,69,Temple  Owls,2015
Punt Avg,Alex Starzyk,390.5,Temple  Owls,2015
Punt Ret Yds,Khalif Herbin,108,Temple  Owls,2015
Rec,Jalen Fitzpatrick,53,Temple  Owls,2015
ReceivingYards,Jalen Fitzpatrick,730,Temple  Owls,2015
Rush Net Yards,Jahad Thomas,384,Temple  Owls,2015
Sacks,Praise Martin-Oguike,7.5,Temple  Owls,2015
Tackles,Tyler Matakevich,96,Temple  Owls,2015
Tot Off,Phillip Walker,2641,Temple  Owls,2015
APY,Jalen Hurd,1120,Tennessee  Volunteers,2015
FGM,Aaron Medley,20,Tennessee  Volunteers,2015
Int,Justin Coleman,4,Tennessee  Volunteers,2015
Pass Eff,Marlin Lane,841.60,Tennessee  Volunteers,2015
Points,Aaron Medley,102,Tennessee  Volunteers,2015
Punt Avg,Matt Darr,545.8,Tennessee  Volunteers,2015
Punt Ret Yds,Cameron Sutton,158,Tennessee  Volunteers,2015
Rec,Alton Howard,54,Tennessee  Volunteers,2015
ReceivingYards,Alton Howard,618,Tennessee  Volunteers,2015
Rush Net Yards,Jalen Hurd,899,Tennessee  Volunteers,2015
Sacks,Curt Maggitt,11.0,Tennessee  Volunteers,2015
Tackles,Jalen Reeves-Maybin,101,Tennessee  Volunteers,2015
Tot Off,Joshua Dobbs,1675,Tennessee  Volunteers,2015
APY,John Harris,1051,Texas  Longhorns,2015
FGM,Nick Rose,14,Texas  Longhorns,2015
Int,Dylan Haines,4,Texas  Longhorns,2015
Pass Eff,Tyrone Swoopes,116.47,Texas  Longhorns,2015
Points,Nick Rose,72,Texas  Longhorns,2015
Punt Avg,William Russ,450.5,Texas  Longhorns,2015
Punt Ret Yds,Jaxon Shipley,186,Texas  Longhorns,2015
Rec,John Harris,68,Texas  Longhorns,2015
ReceivingYards,John Harris,1051,Texas  Longhorns,2015
Rush Net Yards,Malcolm Brown,708,Texas  Longhorns,2015
Sacks,Malcom Brown,6.5,Texas  Longhorns,2015
Tackles,Steve Edmond,109,Texas  Longhorns,2015
Tot Off,Tyrone Swoopes,2671,Texas  Longhorns,2015
APY,Speedy Noil,1418,Texas A&M Aggies,2015
FGM,Josh Lambo,13,Texas A&M Aggies,2015
Int,Armani Watts,3,Texas A&M Aggies,2015
Pass Eff,Kenny Hill,154.65,Texas A&M Aggies,2015
Points,Josh Lambo,98,Texas A&M Aggies,2015
Punt Avg,Drew Kaser,560.3,Texas A&M Aggies,2015
Punt Ret Yds,Speedy Noil,180,Texas A&M Aggies,2015
Rec,Malcome Kennedy,53,Texas A&M Aggies,2015
ReceivingYards,Josh Reynolds,842,Texas A&M Aggies,2015
Rush Net Yards,Tra Carson,581,Texas A&M Aggies,2015
Sacks,Myles Garrett,11.5,Texas A&M Aggies,2015
Tackles,Howard Matthews,82,Texas A&M Aggies,2015
Tot Off,Kenny Hill,2805,Texas A&M Aggies,2015
APY,Robert Lowe,1298,Texas St. Bobcats,2015
FGM,Will Johnson,11,Texas St. Bobcats,2015
Int,David Mims,5,Texas St. Bobcats,2015
Pass Eff,Connor White,148.88,Texas St. Bobcats,2015
Points,Robert Lowe,78,Texas St. Bobcats,2015
Punt Avg,Will Johnson,471.3,Texas St. Bobcats,2015
Punt Ret Yds,Craig Mager,123,Texas St. Bobcats,2015
Rec,Bradley Miller,44,Texas St. Bobcats,2015
ReceivingYards,Bradley Miller,431,Texas St. Bobcats,2015
Rush Net Yards,Robert Lowe,1091,Texas St. Bobcats,2015
Sacks,Michael Odiari,9.0,Texas St. Bobcats,2015
Tackles,David Mayo,154,Texas St. Bobcats,2015
Tot Off,Tyler Jones,3209,Texas St. Bobcats,2015
APY,Kareem Hunt,1670,Toledo  Rockets,2015
FGM,Jeremiah Detmer,17,Toledo  Rockets,2015
Int,Jordan Haden,3,Toledo  Rockets,2015
Pass Eff,Dwight Macon,177.86,Toledo  Rockets,2015
Points,Jeremiah Detmer,108,Toledo  Rockets,2015
Punt Avg,Nick Ellis,485.9,Toledo  Rockets,2015
Punt Ret Yds,Corey Jones,153,Toledo  Rockets,2015
Rec,Corey Jones,68,Toledo  Rockets,2015
ReceivingYards,Corey Jones,842,Toledo  Rockets,2015
Rush Net Yards,Kareem Hunt,1631,Toledo  Rockets,2015
Sacks,Orion Jones,6.0,Toledo  Rockets,2015
Tackles,Junior Sylvestre,100,Toledo  Rockets,2015
Tot Off,Logan Woodside,2341,Toledo  Rockets,2015
APY,Chandler Worthy,1187,Troy Trojans,2015
FGM,Ryan Kay,10,Troy Trojans,2015
Int,Montres Kitchens,6,Troy Trojans,2015
Pass Eff,Brandon Silvers,138.57,Troy Trojans,2015
Points,Ryan Kay,60,Troy Trojans,2015
Punt Avg,Ryan Kay,475.0,Troy Trojans,2015
Punt Ret Yds,Teddy Ruben,49,Troy Trojans,2015
Rec,Chandler Worthy,44,Troy Trojans,2015
ReceivingYards,Bryan Holmes,474,Troy Trojans,2015
Rush Net Yards,Brandon Burks,584,Troy Trojans,2015
Sacks,Tyler Roberts,5.0,Troy Trojans,2015
Tackles,Montres Kitchens,88,Troy Trojans,2015
Tot Off,Brandon Silvers,2032,Troy Trojans,2015
APY,Dontrell Hilliard,956,Tulane Green Wave,2015
FGM,Andrew DiRocco,8,Tulane Green Wave,2015
Int,Parry Nickerson,6,Tulane Green Wave,2015
Pass Eff,Tanner Lee,107.56,Tulane Green Wave,2015
Points,Andrew DiRocco,46,Tulane Green Wave,2015
Punt Avg,Peter Picerelli,446.3,Tulane Green Wave,2015
Punt Ret Yds,Teddy Veal,41,Tulane Green Wave,2015
Rec,Teddy Veal,40,Tulane Green Wave,2015
ReceivingYards,Justyn Shackelford,465,Tulane Green Wave,2015
Rush Net Yards,Sherman Badie,688,Tulane Green Wave,2015
Sacks,Royce LaFrance,6.0,Tulane Green Wave,2015
Tackles,Sam Scofield,94,Tulane Green Wave,2015
Tot Off,Tanner Lee,1837,Tulane Green Wave,2015
APY,Keevan Lucas,1285,Tulsa  Golden Hurricane,2015
FGM,Carl Salazar,12,Tulsa  Golden Hurricane,2015
Int,Michael Mudoh,2,Tulsa  Golden Hurricane,2015
Pass Eff,Dane Evans,120.88,Tulsa  Golden Hurricane,2015
Points,Carl Salazar,70,Tulsa  Golden Hurricane,2015
Punt Avg,Dalton Parks,504.6,Tulsa  Golden Hurricane,2015
Punt Ret Yds,Conner Floyd,79,Tulsa  Golden Hurricane,2015
Rec,Keevan Lucas,101,Tulsa  Golden Hurricane,2015
ReceivingYards,Keevan Lucas,1219,Tulsa  Golden Hurricane,2015
Rush Net Yards,Zack Langer,801,Tulsa  Golden Hurricane,2015
Sacks,Derrick Alexander,7.5,Tulsa  Golden Hurricane,2015
Tackles,Michael Mudoh,113,Tulsa  Golden Hurricane,2015
Tot Off,Dane Evans,3160,Tulsa  Golden Hurricane,2015
APY,Breshad Perriman,1044,UCF Knights,2015
FGM,Shawn Moffitt,17,UCF Knights,2015
Int,Jacoby Glenn,7,UCF Knights,2015
Pass Eff,Justin Holman,132.36,UCF Knights,2015
Points,Shawn Moffitt,81,UCF Knights,2015
Punt Avg,Caleb Houston,500.8,UCF Knights,2015
Punt Ret Yds,J.J. Worton,167,UCF Knights,2015
Rec,Breshad Perriman,50,UCF Knights,2015
ReceivingYards,Breshad Perriman,1044,UCF Knights,2015
Rush Net Yards,William Stanback,697,UCF Knights,2015
Sacks,Thomas Niles,7.5,UCF Knights,2015
Tackles,Terrance Plummer,99,UCF Knights,2015
Tot Off,Justin Holman,3141,UCF Knights,2015
APY,Paul Perkins,1776,UCLA Bruins,2015
FGM,Ka'Imi Fairbairn,18,UCLA Bruins,2015
Int,Eric Kendricks,3,UCLA Bruins,2015
Pass Eff,Devin Fuller,175.60,UCLA Bruins,2015
Points,Ka'Imi Fairbairn,101,UCLA Bruins,2015
Punt Avg,Matt Mengel,531.1,UCLA Bruins,2015
Punt Ret Yds,Ishmael Adams,193,UCLA Bruins,2015
Rec,Jordan Payton,67,UCLA Bruins,2015
ReceivingYards,Jordan Payton,954,UCLA Bruins,2015
Rush Net Yards,Paul Perkins,1575,UCLA Bruins,2015
Sacks,Deon Hollins,9.0,UCLA Bruins,2015
Tackles,Eric Kendricks,149,UCLA Bruins,2015
Tot Off,Brett Hundley,3799,UCLA Bruins,2015
APY,Arkeel Newsome,1072,"UConn Huskies, UConn",2015
FGM,Bobby Puyol,9,"UConn Huskies, UConn",2015
Int,Andrew Adams,4,"UConn Huskies, UConn",2015
Pass Eff,Chandler Whitmer,122.04,"UConn Huskies, UConn",2015
Points,Bobby Puyol,46,"UConn Huskies, UConn",2015
Punt Avg,Justin Wain,423.1,"UConn Huskies, UConn",2015
Punt Ret Yds,Deshon Foxx,81,"UConn Huskies, UConn",2015
Rec,Geremy Davis,44,"UConn Huskies, UConn",2015
ReceivingYards,Geremy Davis,521,"UConn Huskies, UConn",2015
Rush Net Yards,Ron Johnson,429,"UConn Huskies, UConn",2015
Sacks,Cole Ormsby,3.5,"UConn Huskies, UConn",2015
Tackles,Marquise Vann,105,"UConn Huskies, UConn",2015
Tot Off,Chandler Whitmer,1578,"UConn Huskies, UConn",2015
APY,Devonte Boyd,985,UNLV Rebels,2015
FGM,Jonathan Leiva,11,UNLV Rebels,2015
Int,Brandon Baker,1,UNLV Rebels,2015
Pass Eff,Troy Hawthorne,310.00,UNLV Rebels,2015
Points,Jonathan Leiva,65,UNLV Rebels,2015
Punt Avg,Logan Yunker,527.0,UNLV Rebels,2015
Punt Ret Yds,Jay Mitchell,76,UNLV Rebels,2015
Rec,Devonte Boyd,65,UNLV Rebels,2015
ReceivingYards,Devonte Boyd,980,UNLV Rebels,2015
Rush Net Yards,Shaquille Murray-Lawrence,552,UNLV Rebels,2015
Sacks,Siuea Vaesau,5.0,UNLV Rebels,2015
Tackles,Tau Lotulelei,100,UNLV Rebels,2015
Tot Off,Blake Decker,3252,UNLV Rebels,2015
APY,Aaron Jones,1614,UTEP Miners,2015
FGM,Jay Mattox,13,UTEP Miners,2015
Int,Damian Payne,2,UTEP Miners,2015
Pass Eff,Jameill Showers,119.82,UTEP Miners,2015
Points,Aaron Jones,84,UTEP Miners,2015
Punt Avg,Jay Mattox,286.1,UTEP Miners,2015
Punt Ret Yds,Damian Payne,139,UTEP Miners,2015
Rec,Autrey Golden,31,UTEP Miners,2015
ReceivingYards,Ian Hamilton,579,UTEP Miners,2015
Rush Net Yards,Aaron Jones,1321,UTEP Miners,2015
Sacks,Roy Robertson,3.5,UTEP Miners,2015
Tackles,Wesley Miller,80,UTEP Miners,2015
Tot Off,Jameill Showers,2170,UTEP Miners,2015
APY,Jarveon Williams,765,UTSA Roadrunners,2015
FGM,Sean Ianno,17,UTSA Roadrunners,2015
Int,Triston Wade,4,UTSA Roadrunners,2015
Pass Eff,Kam Jones,724.00,UTSA Roadrunners,2015
Points,Sean Ianno,70,UTSA Roadrunners,2015
Punt Avg,Kristian Stern,491.9,UTSA Roadrunners,2015
Punt Ret Yds,Kenny Harrison,118,UTSA Roadrunners,2015
Rec,Kam Jones,34,UTSA Roadrunners,2015
ReceivingYards,Marcellus Mack,279,UTSA Roadrunners,2015
Rush Net Yards,David Glasco II,570,UTSA Roadrunners,2015
Sacks,Jason Neill,4.0,UTSA Roadrunners,2015
Tackles,Triston Wade,86,UTSA Roadrunners,2015
Tot Off,Tucker Carter,1112,UTSA Roadrunners,2015
APY,Devontae Booker,1875,Utah  Utes,2015
FGM,Andy Phillips,23,Utah  Utes,2015
Int,Gionni Paul,4,Utah  Utes,2015
Pass Eff,Adam Schulz,230.20,Utah  Utes,2015
Points,Andy Phillips,113,Utah  Utes,2015
Punt Avg,Tom Hackett,610.8,Utah  Utes,2015
Punt Ret Yds,Kaelin Clay,346,Utah  Utes,2015
Rec,Kenneth Scott,48,Utah  Utes,2015
ReceivingYards,Kaelin Clay,523,Utah  Utes,2015
Rush Net Yards,Devontae Booker,1512,Utah  Utes,2015
Sacks,Nate Orchard,18.5,Utah  Utes,2015
Tackles,Jared Norris,116,Utah  Utes,2015
Tot Off,Travis Wilson,2479,Utah  Utes,2015
APY,Jojo Natson,1295,Utah St. Aggies,2015
FGM,Nick Diaz,12,Utah St. Aggies,2015
Int,Frankie Sutera,7,Utah St. Aggies,2015
Pass Eff,Ronald Butler,279.84,Utah St. Aggies,2015
Points,Nick Diaz,81,Utah St. Aggies,2015
Punt Avg,Jaron Bentrude,572.3,Utah St. Aggies,2015
Punt Ret Yds,Jojo Natson,292,Utah St. Aggies,2015
Rec,Hunter Sharp,66,Utah St. Aggies,2015
ReceivingYards,Hunter Sharp,939,Utah St. Aggies,2015
Rush Net Yards,Lajuan Hunt,540,Utah St. Aggies,2015
Sacks,Zach Vigil,9.0,Utah St. Aggies,2015
Tackles,Zach Vigil,156,Utah St. Aggies,2015
Tot Off,Kent Myers,1176,Utah St. Aggies,2015
APY,Ralph Webb,937,Vanderbilt Commodores,2015
FGM,Tommy Openshaw,8,Vanderbilt Commodores,2015
Int,Torren McGaster,2,Vanderbilt Commodores,2015
Pass Eff,Patton Robinette,126.92,Vanderbilt Commodores,2015
Points,Tommy Openshaw,45,Vanderbilt Commodores,2015
Punt Avg,Colby Cooke,509.0,Vanderbilt Commodores,2015
Punt Ret Yds,Trey Ellis,49,Vanderbilt Commodores,2015
Rec,Steven Scheu,39,Vanderbilt Commodores,2015
ReceivingYards,Steven Scheu,525,Vanderbilt Commodores,2015
Rush Net Yards,Ralph Webb,907,Vanderbilt Commodores,2015
Sacks,Stephen Weatherly,4.5,Vanderbilt Commodores,2015
Tackles,Nigel Bowden,78,Vanderbilt Commodores,2015
Tot Off,Johnny McCrary,1024,Vanderbilt Commodores,2015
APY,Darius Jennings,1313,Virginia  Cavaliers,2015
FGM,Ian Frye,22,Virginia  Cavaliers,2015
Int,Quin Blanding,3,Virginia  Cavaliers,2015
Pass Eff,Miles Gooch,314.20,Virginia  Cavaliers,2015
Points,Ian Frye,100,Virginia  Cavaliers,2015
Punt Avg,Alec Vozenilek,507.5,Virginia  Cavaliers,2015
Punt Ret Yds,Khalek Shepherd,115,Virginia  Cavaliers,2015
Rec,Canaan Severin,42,Virginia  Cavaliers,2015
ReceivingYards,Canaan Severin,578,Virginia  Cavaliers,2015
Rush Net Yards,Kevin Parks,745,Virginia  Cavaliers,2015
Sacks,Max Valles,9.0,Virginia  Cavaliers,2015
Tackles,Quin Blanding,123,Virginia  Cavaliers,2015
Tot Off,Greyson Lambert,1626,Virginia  Cavaliers,2015
APY,Isaiah Ford,709,Virginia Tech Hokies,2015
FGM,Joey Slye,20,Virginia Tech Hokies,2015
Int,Kyshoen Jarrett,3,Virginia Tech Hokies,2015
Pass Eff,Isaiah Ford,352.00,Virginia Tech Hokies,2015
Points,Joey Slye,93,Virginia Tech Hokies,2015
Punt Avg,A.J. Hughes,521.0,Virginia Tech Hokies,2015
Punt Ret Yds,Greg Stroman,249,Virginia Tech Hokies,2015
Rec,Isaiah Ford,56,Virginia Tech Hokies,2015
ReceivingYards,Isaiah Ford,709,Virginia Tech Hokies,2015
Rush Net Yards,J.C. Coleman,533,Virginia Tech Hokies,2015
Sacks,Ken Ekanem,9.5,Virginia Tech Hokies,2015
Tackles,Kyshoen Jarrett,88,Virginia Tech Hokies,2015
Tot Off,Michael Brewer,2687,Virginia Tech Hokies,2015
APY,E.J. Scott,552,Wake Forest Demon Deacons,2015
FGM,Mike Weaver,15,Wake Forest Demon Deacons,2015
Int,Merrill Noel,3,Wake Forest Demon Deacons,2015
Pass Eff,Jared Crump,301.60,Wake Forest Demon Deacons,2015
Points,Mike Weaver,64,Wake Forest Demon Deacons,2015
Punt Avg,Alexander Kinal,506.9,Wake Forest Demon Deacons,2015
Punt Ret Yds,Jared Crump,130,Wake Forest Demon Deacons,2015
Rec,Cam Serigne,54,Wake Forest Demon Deacons,2015
ReceivingYards,Cam Serigne,531,Wake Forest Demon Deacons,2015
Rush Net Yards,Dezmond Wortham,241,Wake Forest Demon Deacons,2015
Sacks,Zachary Allen,5.0,Wake Forest Demon Deacons,2015
Tackles,Ryan Janvion,115,Wake Forest Demon Deacons,2015
Tot Off,John Wolford,1886,Wake Forest Demon Deacons,2015
APY,John Ross,1363,Washington  Huskies,2015
FGM,Cameron Van Winkle,20,Washington  Huskies,2015
Int,Marcus Peters,3,Washington  Huskies,2015
Pass Eff,Marvin Hall,533.80,Washington  Huskies,2015
Points,Cameron Van Winkle,107,Washington  Huskies,2015
Punt Avg,Korey Durkee,536.8,Washington  Huskies,2015
Punt Ret Yds,Dante Pettis,288,Washington  Huskies,2015
Rec,Jaydon Mickens,60,Washington  Huskies,2015
ReceivingYards,Jaydon Mickens,617,Washington  Huskies,2015
Rush Net Yards,Dwayne Washington,697,Washington  Huskies,2015
Sacks,Hau'Oli Kikana,19.0,Washington  Huskies,2015
Tackles,John Timu,97,Washington  Huskies,2015
Tot Off,Cyler Miles,2704,Washington  Huskies,2015
APY,Vince Mayle,1660,Washington St. Cougars,2015
FGM,Quentin Breshars,9,Washington St. Cougars,2015
Int,Tana Pritchard,1,Washington St. Cougars,2015
Pass Eff,Connor Halliday,145.04,Washington St. Cougars,2015
Points,Isiah Myers,72,Washington St. Cougars,2015
Punt Avg,Jordan Dascalo,503.9,Washington St. Cougars,2015
Punt Ret Yds,Rickey Galvin,148,Washington St. Cougars,2015
Rec,Vince Mayle,106,Washington St. Cougars,2015
ReceivingYards,Vince Mayle,1483,Washington St. Cougars,2015
Rush Net Yards,Jamal Morrow,351,Washington St. Cougars,2015
Sacks,Kache Palacio,6.5,Washington St. Cougars,2015
Tackles,Daquawn Brown,82,Washington St. Cougars,2015
Tot Off,Connor Halliday,3742,Washington St. Cougars,2015
APY,Mario Alford,1691,West Virginia  Mountaineers,2015
FGM,Josh Lambert,30,West Virginia  Mountaineers,2015
Int,KJ Dillon,3,West Virginia  Mountaineers,2015
Pass Eff,Clint Trickett,142.32,West Virginia  Mountaineers,2015
Points,Josh Lambert,135,West Virginia  Mountaineers,2015
Punt Avg,Nick O'Toole,542.4,West Virginia  Mountaineers,2015
Punt Ret Yds,Jordan Thompson,52,West Virginia  Mountaineers,2015
Rec,Kevin White,109,West Virginia  Mountaineers,2015
ReceivingYards,Kevin White,1447,West Virginia  Mountaineers,2015
Rush Net Yards,Rushel Shell,788,West Virginia  Mountaineers,2015
Sacks,Shaquille Riddick,7.0,West Virginia  Mountaineers,2015
Tackles,Nick Kwiatkoski,103,West Virginia  Mountaineers,2015
Tot Off,Clint Trickett,3179,West Virginia  Mountaineers,2015
APY,Leon Allen,2018,Western Ky. Hilltoppers,2015
FGM,Garrett Schwettman,16,Western Ky. Hilltoppers,2015
Int,Branden Leston,4,Western Ky. Hilltoppers,2015
Pass Eff,Nacarius Fant,310.00,Western Ky. Hilltoppers,2015
Points,Garrett Schwettman,118,Western Ky. Hilltoppers,2015
Punt Avg,Joseph Occhipinti,487.9,Western Ky. Hilltoppers,2015
Punt Ret Yds,Kylen Towner,59,Western Ky. Hilltoppers,2015
Rec,Jared Dangerfield,69,Western Ky. Hilltoppers,2015
ReceivingYards,Jared Dangerfield,825,Western Ky. Hilltoppers,2015
Rush Net Yards,Leon Allen,1542,Western Ky. Hilltoppers,2015
Sacks,Bryan Shorter,5.5,Western Ky. Hilltoppers,2015
Tackles,Nick Holt,111,Western Ky. Hilltoppers,2015
Tot Off,Brandon Doughty,4778,Western Ky. Hilltoppers,2015
APY,Jarvion Franklin,1719,Western Mich. Broncos,2015
FGM,Andrew Haldeman,14,Western Mich. Broncos,2015
Int,Donald Celiscar,4,Western Mich. Broncos,2015
Pass Eff,Corey Davis,251.20,Western Mich. Broncos,2015
Points,Jarvion Franklin,150,Western Mich. Broncos,2015
Punt Avg,J. Schroeder,558.9,Western Mich. Broncos,2015
Punt Ret Yds,Daniel Braverman,21,Western Mich. Broncos,2015
Rec,Daniel Braverman,86,Western Mich. Broncos,2015
ReceivingYards,Corey Davis,1408,Western Mich. Broncos,2015
Rush Net Yards,Jarvion Franklin,1551,Western Mich. Broncos,2015
Sacks,Cleveland Smith,5.5,Western Mich. Broncos,2015
Tackles,Justin Currie,105,Western Mich. Broncos,2015
Tot Off,Zach Terrell,3707,Western Mich. Broncos,2015
APY,Melvin Gordon,2740,Wisconsin Badgers,2015
FGM,Rafeal Gaglianone,19,Wisconsin Badgers,2015
Int,Peniel Jean,2,Wisconsin Badgers,2015
Pass Eff,Drew Meyer,242.80,Wisconsin Badgers,2015
Points,Melvin Gordon,192,Wisconsin Badgers,2015
Punt Avg,Drew Meyer,514.3,Wisconsin Badgers,2015
Punt Ret Yds,Kenzel Doe,253,Wisconsin Badgers,2015
Rec,Alex Erickson,55,Wisconsin Badgers,2015
ReceivingYards,Alex Erickson,772,Wisconsin Badgers,2015
Rush Net Yards,Melvin Gordon,2587,Wisconsin Badgers,2015
Sacks,Derek Landisch,9.0,Wisconsin Badgers,2015
Tackles,Michael Caputo,106,Wisconsin Badgers,2015
Tot Off,Melvin Gordon,2587,Wisconsin Badgers,2015
APY,Brian Hill,1000,Wyoming  Cowboys,2015
FGM,Stuart Williams,12,Wyoming  Cowboys,2015
Int,Tyran Finley,2,Wyoming  Cowboys,2015
Pass Eff,Colby Kirkegaard,125.64,Wyoming  Cowboys,2015
Points,Stuart Williams,67,Wyoming  Cowboys,2015
Punt Avg,Ethan Wood,490.2,Wyoming  Cowboys,2015
Punt Ret Yds,Jalen Claiborne,139,Wyoming  Cowboys,2015
Rec,Dominic Rufran,45,Wyoming  Cowboys,2015
ReceivingYards,Dominic Rufran,596,Wyoming  Cowboys,2015
Rush Net Yards,Brian Hill,796,Wyoming  Cowboys,2015
Sacks,Eddie Yarbrough,4.0,Wyoming  Cowboys,2015
Tackles,Devyn Harris,83,Wyoming  Cowboys,2015
Tot Off,Colby Kirkegaard,2550,Wyoming  Cowboys,2015
APY,Jocobi Owens,1092,Air Force Falcons,2016
FGM,Luke Strebel,10,Air Force Falcons,2016
Int,Weston Steelhammer,5,Air Force Falcons,2016
Pass Eff,Jalen Robinette,499.47,Air Force Falcons,2016
Points,Tim McVey,78,Air Force Falcons,2016
Punt Avg,Steve Brosy,320.0,Air Force Falcons,2016
Punt Ret Yds,Garrett Brown,139,Air Force Falcons,2016
Rec,Garrett Brown,27,Air Force Falcons,2016
ReceivingYards,Jalen Robinette,641,Air Force Falcons,2016
Rush Net Yards,Jocobi Owens,1092,Air Force Falcons,2016
Sacks,Alex Hansen,7.5,Air Force Falcons,2016
Tackles,Weston Steelhammer,80,Air Force Falcons,2016
Tot Off,Karson Roberts,2338,Air Force Falcons,2016
APY,Conor Hundley,981,Akron  Zips,2016
FGM,Robert Stein,15,Akron  Zips,2016
Int,Deandre Scott,6,Akron  Zips,2016
Pass Eff,Tyrell Goodman,547.60,Akron  Zips,2016
Points,Robert Stein,81,Akron  Zips,2016
Punt Avg,Zach Paul,521.7,Akron  Zips,2016
Punt Ret Yds,A.J. Coney,73,Akron  Zips,2016
Rec,Imani Davis,46,Akron  Zips,2016
ReceivingYards,Jerome Lane,782,Akron  Zips,2016
Rush Net Yards,Conor Hundley,911,Akron  Zips,2016
Sacks,Jatavis Brown,12.0,Akron  Zips,2016
Tackles,Jatavis Brown,116,Akron  Zips,2016
Tot Off,Thomas Woodson,2793,Akron  Zips,2016
APY,Derrick Henry,2310,Alabama  Crimson Tide,2016
FGM,Adam Griffith,23,Alabama  Crimson Tide,2016
Int,Eddie Jackson,6,Alabama  Crimson Tide,2016
Pass Eff,Alec Morris,150.40,Alabama  Crimson Tide,2016
Points,Derrick Henry,168,Alabama  Crimson Tide,2016
Punt Avg,JK Scott,619.2,Alabama  Crimson Tide,2016
Punt Ret Yds,Cyrus Jones,530,Alabama  Crimson Tide,2016
Rec,Calvin Ridley,89,Alabama  Crimson Tide,2016
ReceivingYards,Calvin Ridley,1045,Alabama  Crimson Tide,2016
